Accident_Severity,Latitude,Longitude,Number_of_Casualties,Number_of_Vehicles,Speed_limit,Day_of_Week_Friday,Day_of_Week_Monday,Day_of_Week_Saturday,Day_of_Week_Sunday,Day_of_Week_Thursday,Day_of_Week_Tuesday,Day_of_Week_Wednesday,Light_Conditions_Darkness - lighting unknown,Light_Conditions_Darkness - lights lit,Light_Conditions_Darkness - lights unlit,Light_Conditions_Darkness - no lighting,Light_Conditions_Daylight,Road_Type_Dual carriageway,Road_Type_One way street,Road_Type_Roundabout,Road_Type_Single carriageway,Road_Type_Slip road,Urban_or_Rural_Area_Rural,Urban_or_Rural_Area_Urban,Weather_Conditions_Fine + high winds,Weather_Conditions_Fine no high winds,Weather_Conditions_Fog or mist,Weather_Conditions_Other,Weather_Conditions_Raining + high winds,Weather_Conditions_Raining no high winds,Weather_Conditions_Snowing + high winds,Weather_Conditions_Snowing no high winds
3,51.581318,-0.432015,1.0,2.0,30,2,2,1,2,2,2,2,2,1,2,2,2,2,2,2,1,2,2,1,2,1,2,2,2,2,2,2
2,51.489666,-0.041912,1.0,2.0,30,2,2,2,2,2,1,2,2,2,2,2,1,2,2,2,1,2,2,1,2,2,2,2,2,1,2,2
3,51.580186,0.478434,1.0,1.0,30,2,2,2,2,1,2,2,2,2,2,2,1,2,2,2,1,2,2,1,2,1,2,2,2,2,2,2
3,52.626794,-2.044436,1.0,3.0,70,2,1,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,1,2,2,2,2,1,2,2,2,2
3,53.390666,-2.276343,1.0,2.0,30,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,1,2,2,1,2,1,2,2,2,2,2,2
3,53.540104,-2.149958,1.0,2.0,40,1,2,2,2,2,2,2,2,1,2,2,2,1,2,2,2,2,2,1,2,1,2,2,2,2,2,2
3,51.541422,-0.138766,1.0,1.0,30,2,2,1,2,2,2,2,2,1,2,2,2,2,2,2,1,2,2,1,2,1,2,2,2,2,2,2
3,50.832705,-0.33113,1.0,2.0,30,2,2,2,2,1,2,2,2,2,2,2,1,2,2,2,1,2,2,1,2,1,2,2,2,2,2,2
2,53.636963,-2.679502,1.0,1.0,60,2,2,1,2,2,2,2,2,2,2,2,1,2,2,2,1,2,1,2,2,1,2,2,2,2,2,2
3,53.725894,-0.446408,1.0,1.0,30,2,2,1,2,2,2,2,2,2,2,2,1,2,2,2,1,2,2,1,2,1,2,2,2,2,2,2
3,52.482282,-1.890117,1.0,3.0,30,2,2,2,1,2,2,2,2,2,2,2,1,1,2,2,2,2,2,1,2,1,2,2,2,2,2,2
3,52.186681,-0.895149,1.0,2.0,70,2,2,2,2,1,2,2,2,1,2,2,2,1,2,2,2,2,1,2,2,1,2,2,2,2,2,2
2,50.81901,-0.544147,1.0,1.0,30,2,2,2,2,2,1,2,2,2,2,2,1,2,2,2,1,2,2,1,2,1,2,2,2,2,2,2
3,51.456572,-0.995628,1.0,1.0,30,2,2,2,2,2,1,2,2,2,2,2,1,2,2,2,1,2,2,1,2,2,2,2,2,1,2,2
3,51.526823,0.366823,1.0,2.0,40,2,1,2,2,2,2,2,2,2,2,2,1,2,2,2,1,2,1,2,2,2,2,2,2,1,2,2
3,53.406087,-2.99382,1.0,1.0,30,2,2,2,2,2,2,1,2,2,2,2,1,2,2,2,1,2,2,1,2,1,2,2,2,2,2,2
3,50.795902,-0.672714,1.0,2.0,30,2,2,2,2,2,1,2,2,2,2,2,1,2,2,2,1,2,2,1,2,1,2,2,2,2,2,2
3,53.757436,-2.857393,1.0,2.0,70,2,2,2,2,2,2,1,2,2,2,2,1,1,2,2,2,2,1,2,2,2,2,1,2,2,2,2
3,51.385503,-2.824121,1.0,1.0,30,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,1,2,1,2,2,1,2,2,2,2,2,2
3,53.87864,-3.045152,1.0,2.0,30,2,2,2,2,2,2,1,2,2,2,2,1,2,2,2,1,2,2,1,2,1,2,2,2,2,2,2
3,51.524882,-1.946491,1.0,1.0,60,2,2,2,2,1,2,2,2,2,2,1,2,2,2,2,1,2,1,2,2,1,2,2,2,2,2,2
3,55.00072,-1.481735,1.0,2.0,40,2,2,2,2,1,2,2,2,2,2,2,1,2,2,1,2,2,1,2,2,1,2,2,2,2,2,2
3,51.344592,-0.38899,1.0,1.0,70,2,2,2,2,2,1,2,2,2,2,1,2,1,2,2,2,2,1,2,2,2,2,2,2,1,2,2
3,51.535729,0.102386,1.0,2.0,30,2,2,2,2,2,1,2,2,1,2,2,2,1,2,2,2,2,2,1,2,1,2,2,2,2,2,2
3,53.65512,-2.176542,1.0,2.0,30,2,1,2,2,2,2,2,2,2,2,2,1,2,2,2,1,2,2,1,2,2,2,1,2,2,2,2
2,56.023942,-2.647332,1.0,1.0,30,2,2,2,1,2,2,2,2,2,2,2,1,2,2,2,1,2,1,2,2,1,2,2,2,2,2,2
3,52.058294,-1.340268,1.0,2.0,30,2,2,2,2,2,1,2,2,2,2,2,1,2,2,2,1,2,2,1,2,1,2,2,2,2,2,2
2,53.738531,-0.342989,1.0,2.0,30,2,1,2,2,2,2,2,2,1,2,2,2,2,2,1,2,2,2,1,2,2,2,2,2,1,2,2
3,53.629371,-2.140596,1.0,1.0,40,2,2,2,2,1,2,2,2,2,2,2,1,1,2,2,2,2,2,1,2,1,2,2,2,2,2,2
3,54.310209,-1.711163,1.0,1.0,60,2,2,2,2,2,2,1,2,2,2,2,1,2,2,2,1,2,1,2,2,1,2,2,2,2,2,2
3,51.508229,-0.201508,1.0,3.0,30,2,1,2,2,2,2,2,2,2,2,2,1,2,2,2,1,2,2,1,2,2,2,2,2,1,2,2
3,53.086993,-2.458939,1.0,3.0,30,2,2,2,2,2,2,1,2,2,2,2,1,2,2,2,1,2,2,1,2,1,2,2,2,2,2,2
3,53.753617,-0.348311,1.0,1.0,30,2,2,2,1,2,2,2,2,1,2,2,2,2,2,2,1,2,2,1,2,1,2,2,2,2,2,2
3,51.537727,-0.354782,1.0,2.0,50,2,2,1,2,2,2,2,2,1,2,2,2,1,2,2,2,2,2,1,2,1,2,2,2,2,2,2
3,51.515231,0.071751,1.0,2.0,40,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,1,2,2,1,2,2,2,2,2,1,2,2
3,54.981029,-1.906214,1.0,1.0,70,2,2,2,1,2,2,2,2,2,2,2,1,1,2,2,2,2,1,2,2,1,2,2,2,2,2,2
3,50.857866,-1.248235,1.0,2.0,40,2,2,2,2,2,2,1,2,2,2,2,1,1,2,2,2,2,2,1,2,1,2,2,2,2,2,2
3,53.520357,-2.318814,1.0,2.0,30,2,2,1,2,2,2,2,2,2,2,2,1,2,2,2,1,2,2,1,2,2,2,1,2,2,2,2
3,51.581579,0.186779,1.0,1.0,30,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,1,2,2,1,2,2,2,2,2,1,2,2
3,51.583958,-3.424393,1.0,2.0,30,2,1,2,2,2,2,2,2,2,2,2,1,2,2,2,1,2,1,2,2,1,2,2,2,2,2,2
3,53.787863,-2.757225,1.0,2.0,30,2,2,2,2,2,1,2,2,1,2,2,2,2,2,2,1,2,2,1,2,1,2,2,2,2,2,2
3,53.76024,-2.687255,1.0,2.0,30,2,2,1,2,2,2,2,2,2,2,2,1,2,2,2,1,2,2,1,2,1,2,2,2,2,2,2
3,51.524098,0.073739,1.0,2.0,30,2,2,2,1,2,2,2,2,1,2,2,2,2,2,1,2,2,2,1,2,1,2,2,2,2,2,2
3,51.421276,-0.207801,1.0,1.0,30,2,2,2,2,1,2,2,2,2,2,2,1,2,2,2,1,2,2,1,2,2,2,1,2,2,2,2
3,50.842062,-0.667002,1.0,2.0,30,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,1,2,2,1,2,1,2,2,2,2,2,2
3,51.281593,1.063523,1.0,2.0,40,2,2,2,2,1,2,2,2,2,2,2,1,2,2,1,2,2,2,1,2,1,2,2,2,2,2,2
3,50.366473,-4.101251,1.0,2.0,30,2,1,2,2,2,2,2,2,2,2,2,1,2,2,1,2,2,2,1,2,2,2,2,2,1,2,2
3,52.967434,-1.088719,1.0,2.0,30,2,2,2,2,2,1,2,2,2,2,2,1,2,2,2,1,2,2,1,2,1,2,2,2,2,2,2
3,53.237155,-1.04734,1.0,2.0,60,2,2,1,2,2,2,2,2,2,2,2,1,2,2,2,1,2,1,2,2,1,2,2,2,2,2,2
3,52.577717,-1.986981,1.0,1.0,30,2,2,2,2,1,2,2,2,2,2,2,1,2,2,2,1,2,2,1,2,1,2,2,2,2,2,2
3,53.775982,-1.540795,1.0,3.0,30,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,1,2,2,1,2,1,2,2,2,2,2,2
3,50.981013,-0.096446,1.0,2.0,40,2,2,2,2,2,2,1,2,2,2,2,1,2,2,2,1,2,2,1,2,2,2,2,2,1,2,2
2,53.735449,-1.874142,1.0,2.0,30,2,2,2,2,2,1,2,2,2,2,2,1,2,2,2,1,2,2,1,2,1,2,2,2,2,2,2
3,51.379302,-0.06229,1.0,1.0,30,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,1,2,2,1,2,1,2,2,2,2,2,2
3,51.389724,-2.824772,1.0,2.0,30,2,2,1,2,2,2,2,2,2,2,2,1,2,2,2,1,2,1,2,2,1,2,2,2,2,2,2
3,52.633372,-1.215068,1.0,2.0,60,2,2,1,2,2,2,2,2,2,2,1,2,2,2,2,1,2,2,1,2,2,2,2,2,1,2,2
3,51.488644,-0.03461,1.0,2.0,30,2,2,2,2,1,2,2,2,2,2,2,1,2,2,1,2,2,2,1,2,1,2,2,2,2,2,2
3,52.510547,-1.93985,1.0,2.0,30,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,1,2,2,1,2,1,2,2,2,2,2,2
3,53.481858,-2.294867,1.0,1.0,70,2,2,2,2,1,2,2,2,2,2,2,1,1,2,2,2,2,2,1,2,1,2,2,2,2,2,2
3,55.885188,-4.371479,1.0,3.0,30,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,1,2,2,1,2,1,2,2,2,2,2,2
3,52.783452,1.379396,1.0,2.0,50,2,2,2,1,2,2,2,2,2,2,2,1,2,2,2,1,2,1,2,2,1,2,2,2,2,2,2
3,53.911576,-1.737974,1.0,2.0,40,2,2,2,2,2,2,1,2,2,2,2,1,1,2,2,2,2,1,2,2,1,2,2,2,2,2,2
3,51.385721,-0.21149,1.0,2.0,30,2,2,1,2,2,2,2,2,2,2,2,1,2,2,2,1,2,2,1,2,1,2,2,2,2,2,2
2,53.625033,-2.658898,1.0,1.0,30,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,1,2,1,2,2,1,2,2,2,2,2,2
2,51.531754,-0.170159,1.0,1.0,30,2,2,2,2,2,1,2,2,2,2,2,1,2,2,2,1,2,2,1,2,1,2,2,2,2,2,2
